id,trove_api_url,trove_url,trove_page_url,trove_pdf_url,title,trove_title_url,trove_api_title_url,Unnamed: 11,identifier,date,page,page_sequence,page_label,supplement,section,edition,spatial,illustrated,extent,type,abstract,placenames,NOTES,latitude,longitude
177546751,https://api.trove.nla.gov.au/v3/newspaper/177546751,https://nla.gov.au/nla.news-article177546751,https://nla.gov.au/nla.news-page20124875,https://trove.nla.gov.au/ndp/imageservice/nla.news-page20124875/print,"Tasmanian News (Hobart, Tas. : 1883 - 1911)",https://nla.gov.au/nla.news-title866,https://api.trove.nla.gov.au/v3/newspaper/title/866,,22037098;issn,1896-07-10,2,2 S,,,,THIRD EDITION,Tasmania,N,212 words,Article,THE reply given by Ministers yesterday to Dr Crosther as to taking steps for the suppreseal of the individual who is going about frightemag lone females who,"Hobart, Tas",This is about the ghost impersonator again,-42.87000107,147.3200073
200376202,https://api.trove.nla.gov.au/v3/newspaper/200376202,https://nla.gov.au/nla.news-article200376202,https://nla.gov.au/nla.news-page22161392,https://trove.nla.gov.au/ndp/imageservice/nla.news-page22161392/print|https://trove.nla.gov.au/ndp/imageservice/nla.news-page22161393/print,"The Tasmanian Tribune (Hobart Town, Tas. : 1872 - 1876)",https://nla.gov.au/nla.news-title950,https://api.trove.nla.gov.au/v3/newspaper/title/950,,22046321;issn,1873-05-24,2,2,,,,,Tasmania,N,641 words,Article,"For some years past the vicinity of Carrick has been frequented by ghosts, especially the Westbury side of the bridge a lady dressed","Carrick, Tas","The Westbury side of the bridge, walking along Oaks Rd.",-32.28245,139.16954
186371503,https://api.trove.nla.gov.au/v3/newspaper/186371503,https://nla.gov.au/nla.news-article186371503,https://nla.gov.au/nla.news-page20193567,https://trove.nla.gov.au/ndp/imageservice/nla.news-page20193567/print,"Devon Herald (Latrobe, Tas. : 1877 - 1889)",https://nla.gov.au/nla.news-title862,https://api.trove.nla.gov.au/v3/newspaper/title/862,,22037071;issn,1883-07-18,2,2 S,,Supplement to the Devon Herald,,,Tasmania,N,419 words,Article,"Mr. Heart’s ghost story,  published in our last week a fescue caused considerable interest and discussion on it recent republication in pamphlet from in London. A correspondent","""In Australia""",A correspondent from London tells a story of a family he knew in Australia.,,
201169146,https://api.trove.nla.gov.au/v3/newspaper/201169146,https://nla.gov.au/nla.news-article201169146,https://nla.gov.au/nla.news-page22158492,https://trove.nla.gov.au/ndp/imageservice/nla.news-page22158492/print,"The Tasmanian Tribune (Hobart Town, Tas. : 1872 - 1876)",https://nla.gov.au/nla.news-title950,https://api.trove.nla.gov.au/v3/newspaper/title/950,,22046321;issn,1874-10-07,4,4,,,,,Tasmania,N,436 words,Article,"From time to time we (Show haven News) have received starting intelligence from Bamerang anent a ghost, or rather ghosts, that have been soon","Bamarang, NSW",,-34.89843002,150.501179
79984967,https://api.trove.nla.gov.au/v3/newspaper/79984967,https://nla.gov.au/nla.news-article79984967,https://nla.gov.au/nla.news-page8287531,https://trove.nla.gov.au/ndp/imageservice/nla.news-page8287531/print,Zeehan and Dundas Herald (Tas. : 1890 - 1922),https://nla.gov.au/nla.news-title270,https://api.trove.nla.gov.au/v3/newspaper/title/270,,18397158;issn,1895-06-15,3,3,,,,,Tasmania,N,217 words,Article,"For some time past (says a Ballarat, Victoria, exchange) there has been much talk of ghosts walking at night in Ballarat. To-night a new phase was","Ballarat, Vic","Read this, it's so bizarre!",-37.5598611,143.8543056
153462086,https://api.trove.nla.gov.au/v3/newspaper/153462086,https://nla.gov.au/nla.news-article153462086,https://nla.gov.au/nla.news-page18383327,https://trove.nla.gov.au/ndp/imageservice/nla.news-page18383327/print,"Daily Telegraph (Launceston, Tas. : 1883 - 1928)",https://nla.gov.au/nla.news-title742,https://api.trove.nla.gov.au/v3/newspaper/title/742,,22029117;issn,1895-08-26,1,1,,,,,Tasmania,N,415 words,Article,The Age states that some uneasiness has been created among residents of Richmond by the appearance of the mischievons idiot who has been figuring in the northern ,"Richmond, Vic",,-37.818635,145.0014704
66063509,https://api.trove.nla.gov.au/v3/newspaper/66063509,https://nla.gov.au/nla.news-article66063509,https://nla.gov.au/nla.news-page6234572,https://trove.nla.gov.au/ndp/imageservice/nla.news-page6234572/print,"The Cornwall Chronicle (Launceston, Tas. : 1835 - 1880)",https://nla.gov.au/nla.news-title170,https://api.trove.nla.gov.au/v3/newspaper/title/170,,18389015;issn,1878-08-16,3,3,,,,,Tasmania,N,281 words,Article,"A very singular circumstance is said to have occurred in a family in this city a few days ago (says the Council Bluffs , Nonparcil). It appears, from what in","Launceston, Tas",,-41.43999863,147.1399994
218204267,https://api.trove.nla.gov.au/v3/newspaper/218204267,https://nla.gov.au/nla.news-article218204267,https://nla.gov.au/nla.news-page23442270,https://trove.nla.gov.au/ndp/imageservice/nla.news-page23442270/print,"Telegraph (Launceston, Tas. : 1881 - 1883)",https://nla.gov.au/nla.news-title1072,https://api.trove.nla.gov.au/v3/newspaper/title/1072,,22052658;issn,1881-11-05,3,3,,,,,Tasmania,N,750 words,Article,"The "" Harbinger of Light,"" a spiritualistic journal, publishes the disclosures made by the above ghost through a medium, as to the",No Location Given?,,,
177543732,https://api.trove.nla.gov.au/v3/newspaper/177543732,https://nla.gov.au/nla.news-article177543732,https://nla.gov.au/nla.news-page20124695,https://trove.nla.gov.au/ndp/imageservice/nla.news-page20124695/print,"Tasmanian News (Hobart, Tas. : 1883 - 1911)",https://nla.gov.au/nla.news-title866,https://api.trove.nla.gov.au/v3/newspaper/title/866,,22037098;issn,1896-05-20,2,2 S,,,,THIRD EDITION,Tasmania,N,190 words,Article,TIMID creatures have been nearly frightened out of their wits lately by the appearance of a white-rabed figure,"Hobart, Tas",Possible ghost impersonator again,-42.87000107,147.3300073
185243417,https://api.trove.nla.gov.au/v3/newspaper/185243417,https://nla.gov.au/nla.news-article185243417,https://nla.gov.au/nla.news-page20126341,https://trove.nla.gov.au/ndp/imageservice/nla.news-page20126341/print,"Tasmanian News (Hobart, Tas. : 1883 - 1911)",https://nla.gov.au/nla.news-title866,https://api.trove.nla.gov.au/v3/newspaper/title/866,,22037098;issn,4/08/1900,4,4 S,,,,THIRD EDITION,Tasmania,N,150 words,Article,"MR FRANCIS H. VINE, photographer, of Sandy Bay, writes under to-day. date, as follows :—""In last night's News your Queen borough correspondent tells a fioe","Sandy Bay, Tas",Denying previous report of a ghost,-42.912738,147.339565
82699635,https://api.trove.nla.gov.au/v3/newspaper/82699635,https://nla.gov.au/nla.news-article82699635,https://nla.gov.au/nla.news-page8366393,https://trove.nla.gov.au/ndp/imageservice/nla.news-page8366393/print,"The Clipper (Hobart, Tas. : 1893 - 1909)",https://nla.gov.au/nla.news-title271,https://api.trove.nla.gov.au/v3/newspaper/title/271,,1839714X;issn,1899-01-07,2,2,,,,,Tasmania,N,514 words,Article,"On New Year's Night a rather unusual experience befel four young fellows, who were proceeding homewards at what hour the ""church-yards yawn,"" etc. To hint for","Sandy Bay, Tas",,-42.912738,147.339565
9377536,https://api.trove.nla.gov.au/v3/newspaper/9377536,https://nla.gov.au/nla.news-article9377536,https://nla.gov.au/nla.news-page842337,https://trove.nla.gov.au/ndp/imageservice/nla.news-page842337/print,"The Mercury (Hobart, Tas. : 1860 - 1954)",https://nla.gov.au/nla.news-title10,https://api.trove.nla.gov.au/v3/newspaper/title/10,,10399992;issn,1896-07-13,3,3,,,,,Tasmania,N,1944 words,Article,"There is much that is both serious and humiliating about the ""ghost"" appearances that have been taking place in various parts of Hobart during the past few months.","Hobart, Tas","The Hobart ""Ghost"" strikes again",-42.87000107,147.3400073
177543952,https://api.trove.nla.gov.au/v3/newspaper/177543952,https://nla.gov.au/nla.news-article177543952,https://nla.gov.au/nla.news-page20124707,https://trove.nla.gov.au/ndp/imageservice/nla.news-page20124707/print,"Tasmanian News (Hobart, Tas. : 1883 - 1911)",https://nla.gov.au/nla.news-title866,https://api.trove.nla.gov.au/v3/newspaper/title/866,,22037098;issn,1896-05-23,2,2 S,,,,THIRD EDITION,Tasmania,N,293 words,Article,"Mr. L. B. Cast ray, J. P., paid a visit to the Police Station this morning and informed the officials there that as he was returning to his residence in Byron","Byron Street, Hobart, Tas","Possibly the first appearance of the Hobart ""Ghost""",-42.86761379,147.3341077
64582697,https://api.trove.nla.gov.au/v3/newspaper/64582697,https://nla.gov.au/nla.news-article64582697,https://nla.gov.au/nla.news-page5160344,https://trove.nla.gov.au/ndp/imageservice/nla.news-page5160344/print,The North Western Advocate and the Emu Bay Times (Tas. : 1899 - 1919),https://nla.gov.au/nla.news-title115,https://api.trove.nla.gov.au/v3/newspaper/title/115,,18379680;issn,4/08/1900,3,3,,,,,Tasmania,N,62 words,Article,"Hobart, Friday.—Two young women were very much terrified last night at Sandy Bay inconsequence of some person acting as a ""ghost."" One of the girls","Sandy Bay, Hobart","Most likely the the man, the myth, the legend",-42.90000153,147.3500061
9309448,https://api.trove.nla.gov.au/v3/newspaper/9309448,https://nla.gov.au/nla.news-article9309448,https://nla.gov.au/nla.news-page844453,https://trove.nla.gov.au/ndp/imageservice/nla.news-page844453/print,"The Mercury (Hobart, Tas. : 1860 - 1954)",https://nla.gov.au/nla.news-title10,https://api.trove.nla.gov.au/v3/newspaper/title/10,,10399992;issn,1896-06-26,3,3,,,,,Tasmania,N,189 words,Article,"SIR,—I was extremely sorry to see in this morning's paper that the ghost had again made his appearance, and that he had nothing to fear from guns being used.","Hobart, Tas","Letter to Editor - re: ""The Ghost""",-42.88000107,147.3000073
264795262,https://api.trove.nla.gov.au/v3/newspaper/264795262,https://nla.gov.au/nla.news-article264795262,https://nla.gov.au/nla.news-page29658308,https://trove.nla.gov.au/ndp/imageservice/nla.news-page29658308/print,The Hobart Herald (Tas. : 1880 - 1882),https://nla.gov.au/nla.news-title1745,https://api.trove.nla.gov.au/v3/newspaper/title/1745,,NDP00245;issn,1880-12-02,3,3,,,,,Tasmania,N,112 words,Article,"SIR,—I consider it is near time steps were taken for the arrest of tho cowardly individual that is endangering the lives of so many females but I cannot see why citizens should be asked to","Hobart, Tas","Letter to Editor about the Hobart ""Ghost""",-42.88000107,147.3100073
83368151,https://api.trove.nla.gov.au/v3/newspaper/83368151,https://nla.gov.au/nla.news-article83368151,https://nla.gov.au/nla.news-page8365589,https://trove.nla.gov.au/ndp/imageservice/nla.news-page8365589/print,"The Clipper (Hobart, Tas. : 1893 - 1909)",https://nla.gov.au/nla.news-title271,https://api.trove.nla.gov.au/v3/newspaper/title/271,,1839714X;issn,1896-07-18,2,2,,,,,Tasmania,N,326 words,Article,The Even Noose published a letter this week horn a correspondent wharf clerk wherein the writer drew attention to the,"Hobart, Tas",Hobart Ghost,-42.88000107,147.3200073
8991948,https://api.trove.nla.gov.au/v3/newspaper/8991948,https://nla.gov.au/nla.news-article8991948,https://nla.gov.au/nla.news-page795328,https://trove.nla.gov.au/ndp/imageservice/nla.news-page795328/print,"The Mercury (Hobart, Tas. : 1860 - 1954)",https://nla.gov.au/nla.news-title10,https://api.trove.nla.gov.au/v3/newspaper/title/10,,10399992;issn,1881-01-04,3,3,,,,,Tasmania,N,263 words,Article,"SIR,—The ""ghost"" nuisance is no light matter, and it is quite time that steps were taken to put a stop to it. Can you inform the public if any further steps have been taken to test the value of the","Hobart, Tas",Hobart Ghost,-42.88000107,147.3300073
163521900,https://api.trove.nla.gov.au/v3/newspaper/163521900,https://nla.gov.au/nla.news-article163521900,https://nla.gov.au/nla.news-page19998503,https://trove.nla.gov.au/ndp/imageservice/nla.news-page19998503/print,"Tasmanian News (Hobart, Tas. : 1883 - 1911)",https://nla.gov.au/nla.news-title866,https://api.trove.nla.gov.au/v3/newspaper/title/866,,22037098;issn,1885-04-09,2,2,,,,,Tasmania,N,528 words,Article,"SIR,—The encampment is over. The Russian scare is Vanquishing, but the story of the ghost in Autill street, is still occupying the thoughts of the sensible. Now","Hobart, Tas","Possibly the ""Ghost"" has been caught",-42.88000107,147.3400073
65224914,https://api.trove.nla.gov.au/v3/newspaper/65224914,https://nla.gov.au/nla.news-article65224914,https://nla.gov.au/nla.news-page6169945,https://trove.nla.gov.au/ndp/imageservice/nla.news-page6169945/print,Emu Bay Times and North West and West Coast Advocate (Tas. : 1897 - 1899),https://nla.gov.au/nla.news-title116,https://api.trove.nla.gov.au/v3/newspaper/title/116,,18379699;issn,1898-09-06,2,2,,,,,Tasmania,N,249 words,Article,An extraordinary circumstance in connection with the prevailing ghost scare has been reported to the police. Constable Owens was called to the house of the young man,"Bendigo, Vic","Bendigo gets its own ""Ghost""",-36.7561799,144.280152
8645145,https://api.trove.nla.gov.au/v3/newspaper/8645145,https://nla.gov.au/nla.news-article8645145,https://nla.gov.au/nla.news-page666742,https://trove.nla.gov.au/ndp/imageservice/nla.news-page666742/print,"Colonial Times (Hobart, Tas. : 1828 - 1857)",https://nla.gov.au/nla.news-title24,https://api.trove.nla.gov.au/v3/newspaper/title/24,,18354734;issn,1830-05-28,3,3,,,,,Tasmania,N,493 words,Article,"A short time ago, a highly respectable gentleman of this place, had been visiting intimate friend at the village of New Town. The time had flown so fast, that ere the gentleman began to think of returning home, the moon had hid","Hobart, Tas",,-42.89000107,147.3000073
177547232,https://api.trove.nla.gov.au/v3/newspaper/177547232,https://nla.gov.au/nla.news-article177547232,https://nla.gov.au/nla.news-page20124905,https://trove.nla.gov.au/ndp/imageservice/nla.news-page20124905/print,"Tasmanian News (Hobart, Tas. : 1883 - 1911)",https://nla.gov.au/nla.news-title866,https://api.trove.nla.gov.au/v3/newspaper/title/866,,22037098;issn,1896-07-18,4,4 S,,,,THIRD EDITION,Tasmania,N,119 words,Article,"The ghost fiend is abroad Terrifying children. it is  alleged that the miscreant has found his way here from Hobart,","Launceston, Tas",The Ghost Fiend from Hobart is allegedly in Launceston,-41.43999863,147.1399994
65249184,https://api.trove.nla.gov.au/v3/newspaper/65249184,https://nla.gov.au/nla.news-article65249184,https://nla.gov.au/nla.news-page5229698,https://trove.nla.gov.au/ndp/imageservice/nla.news-page5229698/print,Wellington Times and Agricultural and Mining Gazette (Tas. : 1890 - 1897),https://nla.gov.au/nla.news-title117,https://api.trove.nla.gov.au/v3/newspaper/title/117,,18379702;issn,1891-06-03,2,2 S,,The Wellington Times Supplement.,,,Tasmania,N,2750 words,Article,"It has been said that British history is [?]brined in Westminster Abbey and Saint Pauls. The great men, who sleep beneath their marble tablets in these venerable","Deadman's Isle, Port Arthur, Tas",,-17.6,145.2166667
177546890,https://api.trove.nla.gov.au/v3/newspaper/177546890,https://nla.gov.au/nla.news-article177546890,https://nla.gov.au/nla.news-page20124884,https://trove.nla.gov.au/ndp/imageservice/nla.news-page20124884/print,"Tasmanian News (Hobart, Tas. : 1883 - 1911)",https://nla.gov.au/nla.news-title866,https://api.trove.nla.gov.au/v3/newspaper/title/866,,22037098;issn,1896-07-13,3,3 S,,,,SECOND EDITION,Tasmania,N,121 words,Article,"If,—Would you kindly insert in your valuable paper the following suggestions which I believe would be the means of securing the ghost. There are","Hobart, Tas","Suggestions for catching the ""Ghost",-42.89000107,147.3100073
232909777,https://api.trove.nla.gov.au/v3/newspaper/232909777,https://nla.gov.au/nla.news-article232909777,https://nla.gov.au/nla.news-page25199202,https://trove.nla.gov.au/ndp/imageservice/nla.news-page25199202/print,"Cornwall Advertiser (Launceston, Tas. : 1870 - 1877)",https://nla.gov.au/nla.news-title1264,https://api.trove.nla.gov.au/v3/newspaper/title/1264,,22068082;issn,1874-12-18,3,3,,,,,Tasmania,N,1091 words,Article,"“ This is awful,” said Sandy. “Quick, Sandy!” hurriedly exclaimed Mr Decree. “Turn your dark lantern on, for the ghost touched",,,,
41458031,https://api.trove.nla.gov.au/v3/newspaper/41458031,https://nla.gov.au/nla.news-article41458031,https://nla.gov.au/nla.news-page3649352,https://trove.nla.gov.au/ndp/imageservice/nla.news-page3649352/print,Launceston Examiner (Tas. : 1842 - 1899),https://nla.gov.au/nla.news-title74,https://api.trove.nla.gov.au/v3/newspaper/title/74,,18368204;issn,1862-12-27,3,3 S,,,,MORNING.,Tasmania,N,946 words,Article,"SIR,—Doubtless you will be surprised at receiving a communication from a visitant from the other world; but be not alarmed, sir, for I come on a good errand, the purport of","Invermay, Tas",Letter to the Editor purporting to be from a ghost,-37.52819443,143.8609772
233287877,https://api.trove.nla.gov.au/v3/newspaper/233287877,https://nla.gov.au/nla.news-article233287877,https://nla.gov.au/nla.news-page25211961,https://trove.nla.gov.au/ndp/imageservice/nla.news-page25211961/print,"The Tasmanian Democrat (Launceston, Tas. : 1891 - 1898)",https://nla.gov.au/nla.news-title1269,https://api.trove.nla.gov.au/v3/newspaper/title/1269,,2206849X;issn,1896-08-14,3,3,,,,,Tasmania,N,211 words,Article,"The Hobart ghost seems to have taken himself away to the land of spooks again. As for  the Launceston spectre, we .doubt very much if he ever really existed. The","Hobart, Tas","The ""Ghost"" can turn himself into a bat, apparently",-42.89000107,147.3200073
233621417,https://api.trove.nla.gov.au/v3/newspaper/233621417,https://nla.gov.au/nla.news-article233621417,https://nla.gov.au/nla.news-page25168988,https://trove.nla.gov.au/ndp/imageservice/nla.news-page25168988/print,"The Weekly Times (Hobart Town, Tas. : 1863)",https://nla.gov.au/nla.news-title1249,https://api.trove.nla.gov.au/v3/newspaper/title/1249,,22069399;issn,1863-10-03,3,3,,,,,Tasmania,N,814 words,Article,"The Rev. G. H. Moreton, a Church of England clergyman who officiates at St. James, in Sydney, has written a letter on “The ghost” which we copy","Ghost Ship ""Victoria""",,-33.28662,138.40111
64885958,https://api.trove.nla.gov.au/v3/newspaper/64885958,https://nla.gov.au/nla.news-article64885958,https://nla.gov.au/nla.news-page5227897,https://trove.nla.gov.au/ndp/imageservice/nla.news-page5227897/print,Wellington Times and Agricultural and Mining Gazette (Tas. : 1890 - 1897),https://nla.gov.au/nla.news-title117,https://api.trove.nla.gov.au/v3/newspaper/title/117,,18379702;issn,1895-06-13,3,3,,,,,Tasmania,N,482 words,Article,"The Singleton correspondent of a Melbourne paper writes as follows:— The town is much excited over the supposed appearance of a ghost, Some years","Singleton, Victoria",,-32.69,151.1872222
4214705,https://api.trove.nla.gov.au/v3/newspaper/4214705,https://nla.gov.au/nla.news-article4214705,https://nla.gov.au/nla.news-page642131,https://trove.nla.gov.au/ndp/imageservice/nla.news-page642131/print,The Hobart Town Courier (Tas. : 1827 - 1839),https://nla.gov.au/nla.news-title19,https://api.trove.nla.gov.au/v3/newspaper/title/19,,18354742;issn,1829-08-22,4,4,,,,,Tasmania,N,1861 words,Article,"We had fondly hoped that with the exception of the rum ghost which we encountered lately in the cottage at New Norfolk, these new colonies were free from those creations of the brain and phantoms of","Sydney, NSW",,-33.8732,151.2096
8933929,https://api.trove.nla.gov.au/v3/newspaper/8933929,https://nla.gov.au/nla.news-article8933929,https://nla.gov.au/nla.news-page790953,https://trove.nla.gov.au/ndp/imageservice/nla.news-page790953/print,"The Mercury (Hobart, Tas. : 1860 - 1954)",https://nla.gov.au/nla.news-title10,https://api.trove.nla.gov.au/v3/newspaper/title/10,,10399992;issn,1874-12-10,3,3,,,,,Tasmania,N,1396 words,Article,"Nothing is more remarkable in the democratic tendency of the age than the deterioration it has brought about in the manners and breeding of ghosts. The ghosts of a century, or even","Russell Square, Hobart, Tas",,-37.55569458,143.8845825
13268884,https://api.trove.nla.gov.au/v3/newspaper/13268884,https://nla.gov.au/nla.news-article13268884,https://nla.gov.au/nla.news-page840551,https://trove.nla.gov.au/ndp/imageservice/nla.news-page840551/print,"The Mercury (Hobart, Tas. : 1860 - 1954)",https://nla.gov.au/nla.news-title10,https://api.trove.nla.gov.au/v3/newspaper/title/10,,10399992;issn,1893-09-12,2,2,,,,,Tasmania,N,1612 words,Article,"It is highly desirable that ghosts should occasionally vindicate their existence by putting in an appearance. Their popularity in the eyes of spiritualists, clairvoyants,","Old Nurses Home, Liverpool St, Tas",,-42.86761379,147.3341077
233102548,https://api.trove.nla.gov.au/v3/newspaper/233102548,https://nla.gov.au/nla.news-article233102548,https://nla.gov.au/nla.news-page25218716,https://trove.nla.gov.au/ndp/imageservice/nla.news-page25218716/print|https://trove.nla.gov.au/ndp/imageservice/nla.news-page25218717/print,"Weekly Examiner (Launceston, Tas. : 1872 - 1878)",https://nla.gov.au/nla.news-title1266,https://api.trove.nla.gov.au/v3/newspaper/title/1266,,22068538;issn,1873-03-08,1,1,,,,,Tasmania,N,3549 words,Article,"In the spring of 185—, I was employed driving a numerous herd of store-cattle [?]m New England down into the Melbourne country. The grass was plentiful,","Deniliquin, NSW",,-35.54,144.9761111
153553247,https://api.trove.nla.gov.au/v3/newspaper/153553247,https://nla.gov.au/nla.news-article153553247,https://nla.gov.au/nla.news-page18387372,https://trove.nla.gov.au/ndp/imageservice/nla.news-page18387372/print,"Daily Telegraph (Launceston, Tas. : 1883 - 1928)",https://nla.gov.au/nla.news-title742,https://api.trove.nla.gov.au/v3/newspaper/title/742,,22029117;issn,1893-09-12,2,2,,,,,Tasmania,N,307 words,Article,"During the time the premises now used as a soup restaurant opposite the General Hospital were occupied by the hospital nurses, some strange stories were told from","Old Nurses Home, Liverpool St, Tas",,-42.86761379,147.3341077
